OBJECTID,NAME,ADDRESS,CITY,STATE,TYPE,STATUS,POPULATION,COUNTY,LATITUDE,LONGITUDE,WEBSITE,OWNER,OPERNAME,CAPACITY,US_RANK,CRUDE,IMAGE
125,NIXON,11372 US HWY 87 E,NIXON,TX,VERY SMALL SIMPLE REFINERY,IN SERVICE,-999,WILSON,29.26145,-97.78658,http://www.blue-dolphin-energy.com,BLUE DOLPHIN ENERGY CO,LAZARUS ENERGY LLC,13765,124,13765,https://drive.google.com/uc?id=15SPzpRWuRfQ1DyHwfXq9tHesIJQBO8gO
126,PRUDHOE BAY,NOT AVAILABLE,PRUDHOE BAY,AK,OIL FIELD TOPPING UNIT,IN SERVICE,-999,NORTH SLOPE (B),70.25498,-148.34731,https://www.bp.com,BP PLC,BP EXPLORATION ALASKA INC,6500,132,6500,https://drive.google.com/uc?id=1GbYv520fwQORZmJ8fh6TpQUXJ2YjFx8Z
127,PRINCETON,10234 HWY 157,PRINCETON,LA,SMALL SIMPLE REFINERY,IN SERVICE,-999,BOSSIER,32.59091,-93.51259,http://www.calumetspecialty.com,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CALUMET LUBRICANTS CO LP,8300,130,8300,https://drive.google.com/uc?id=1gWam2Tonz-Isli8n13nyA-Sl4z64yvwE
128,PRUDHOE BAY,NOT AVAILABLE,KUPARUK,AK,OIL FIELD TOPPING UNIT,IN SERVICE,-999,NORTH SLOPE (B),70.32539,-149.6059,http://www.conocophillips.com,CONOCOPHILLIPS,CONOCOPHILLIPS ALASKA INC,15000,123,15000,https://drive.google.com/uc?id=1bb69DBoInz9oLa3fTj28NjwW-A1MVv2k
129,ELY,HC 34 BOX 34830 AND 65 MILES SW OF ELY ON HWY 6,ELY,NV,VERY SMALL REFINERY,IN SERVICE,-999,NYE,38.6222,-115.61858,NOT AVAILABLE,FORELAND REFINING CORP,FORELAND REFINING CORP,2000,137,2000,https://drive.google.com/uc?id=1pHSnDTNwy9mFHsINntrbqIt9VQHBy9sW
130,ATMORE,4745 ROSS ROAD,ATMORE,AL,VERY SMALL TOPPING REFINERY,IN SERVICE,-999,ESCAMBIA,31.18137,-87.4394,http://www.goodwayrefining.com,GOODWAY REFINING LLC,GOODWAY REFINING LLC,4100,135,4100,https://drive.google.com/uc?id=1slCp0tJ74Wl7H5GrZ21kbrh2aSypoZBz
131,SANTA MARIA ASPHALT REFINERY,1700 SINTON ROAD,SANTA MARIA,CA,LARGE REFINERY,IN SERVICE,126,SANTA BARBARA,34.93032,-120.51069,http://www.greka.com,GREKA ENERGY,SANTA MARIA REFINING COMPANY,9500,128,9500,https://drive.google.com/uc?id=1oumtt34nFYJj1OCePm-yjMj7aUWVZ3nR
132,PAULSBORO,4 PARADISE ROAD,PAULSBORO,NJ,SPECIALIST ASPHALT REFINERY,CLOSED,80,GLOUCESTER,39.84615,-75.2256,http://axeonsp.com/,LINDSAY GOLDBERG LLC,AXEON SPECIALTY PRODUCTS LLC,74000,82,0,https://drive.google.com/uc?id=1eob64z0zBWhQwhdK5TDvlXqmMfqsTMtH
133,BAKERSFIELD,3542 SHELL ST,BAKERSFIELD,CA,SMALL REFINERY,IN SERVICE,-999,KERN,35.39724,-119.04671,http://www.sjr.com,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,15000,121,15000,https://drive.google.com/uc?id=1H1f40pVO95EeOrE4mKwimU4Z9ZQldzsI
134,WILMINGTON ASPHALT PLANT,1651 S ALAMEDA STREET,WILMINGTON,CA,SMALL ASPHALT REFINERY,IN SERVICE,-999,LOS ANGELES,33.7976,-118.23925,https://www.valero.com/en-us,VALERO ENERGY CORP,VALERO REFINING CO CALIFORNIA,6300,133,6300,https://drive.google.com/uc?id=17ZTJKOUEei0FVWcuX8sqqQJqR5ADYzie
135,BURNABY,5201 PENZANCE DRIVE AND 355 N WILLINGDON AVENUE,BURNABY,BC,MEDIUM SIZED MEDIUM COMPLEXITY REFINERY,IN SERVICE,250,NOT AVAILABLE,49.29336,-122.98734,http://www.parkland.ca/en/,PARKLAND FUEL CORPORATION,PARKLAND FUEL CORPORATION,55000,-999,54721,https://drive.google.com/uc?id=1HvP-7MwknM1VZqIyHlhHKUeQ0F-jeZDh
136,REGINA (CO-OP REFINERY COMPLEX),9 AVENUE N AND MCDONALD STREET,REGINA,SK,SMALL TOPPING REFINERY,IN SERVICE,800,NOT AVAILABLE,50.48602,-104.57294,http://www.ccrl-fcl.ca,FEDERATED CO-OPERATIVES LIMITED (FCL),FCL CO-OP REFINERY COMPLEX,135000,-999,135231,https://drive.google.com/uc?id=1LKsF1-3Uf_ZdmS2Px1nZ9A3ZjiFdltf5
137,JEAN GAULIN,165 CHEMIN DES ILES,LEVIS,QC,LARGE COMPLEX REFINERY,IN SERVICE,500,NOT AVAILABLE,46.75882,-71.19313,http://www.valero.com,VALERO ENERGY CORPORATION,VALERO ENERGY INC,265000,-999,264990,https://drive.google.com/uc?id=13syXVCn29zpPsgJe8K5cCDAOuNkNV54D
138,SARNIA,602 CHRISTINA STREET SOUTH,SARNIA,ON,MEDIUM TO LARGE COMPLEX REFINERY,IN SERVICE,392,NOT AVAILABLE,42.95168,-82.41765,http://www.imperialoil.ca,IMPERIAL OIL,IMPERIAL OIL LTD,121000,-999,118997,https://drive.google.com/uc?id=1Ythiv_ZWqGK3d04qj8jj961kvIDgBtys
139,SAINT JOHN,340 LOCH LOMOND ROAD,SAINT JOHN,NB,LARGE COMPLEX REFINERY,IN SERVICE,1400,NOT AVAILABLE,45.28335,-66.0092,https://www.irvingoilcommercial.com,IRVING OIL,IRVING OIL,300000,-999,298766,https://drive.google.com/uc?id=127AvN4jXpjqwahR8BXIe2RsC1tQRf_Jb
140,NANTICOKE,225 CONCESSION 2 WALPOLE ROAD,NANTICOKE,ON,MEDIUM TO LARGE COMPLEX REFINERY,IN SERVICE,287,NOT AVAILABLE,42.83385,-80.0478,http://www.imperialoil.ca,IMPERIAL OIL,IMPERIAL OIL LTD,112000,-999,113500,https://drive.google.com/uc?id=1dGFKtSp_DHM1t8fmjcW7q-yLjx92KhDn
